    9   27    1
    1    2    -3.
    1    5     2.
    2    5    12.
    2    4    15.
    2    3    -5.
    3    4     8.
    3    8    24.
    4    1     6.
    4    3     8.
    4    7     4.
    4    9    11.
    4    6    18.
    5    2    12.
    5    4    -7.
    5    6    20.
    6    7     9.
    6    5    20.
    7    4     4.
    7    3   -10.
    7    8    16.
    7    6     9.
    8    3    24.
    8    7    16.
    8    9    22.
    9    4    11.
    9    6   -13.





